subj,task,run,abs_mean,rel_mean,pct_removed
793465,SOCIAL,RL,0.208253,0.084294,0.361702
803240,SOCIAL,LR,1.409370,0.058229,0.347826
803240,SOCIAL,RL,0.404762,0.097250,0.425926
810843,SOCIAL,LR,1.450950,0.201724,0.666667
810843,SOCIAL,RL,0.622891,0.125917,0.607843
815247,SOCIAL,LR,0.709811,0.091426,0.412698
815247,SOCIAL,RL,0.683469,0.070166,0.500000
816653,SOCIAL,LR,0.223332,0.075930,0.481481
816653,SOCIAL,RL,0.132004,0.075752,0.538462
825654,SOCIAL,LR,0.271780,0.117765,0.354839
825654,SOCIAL,RL,0.221667,0.133449,0.266667
828862,SOCIAL,LR,0.401015,0.069235,0.363636
828862,SOCIAL,RL,1.378710,0.093690,0.428571
833148,SOCIAL,LR,0.051002,0.040079,0.428571
833148,SOCIAL,RL,0.087613,0.037688,0.500000
841349,SOCIAL,LR,0.074455,0.067467,0.333333
841349,SOCIAL,RL,0.889599,0.077129,0.441176
849264,SOCIAL,LR,1.804800,0.125710,0.642857
849264,SOCIAL,RL,0.765241,0.087816,0.578947
856766,SOCIAL,LR,0.273294,0.116680,0.545455
856766,SOCIAL,RL,0.430621,0.101527,0.459459
856968,SOCIAL,LR,0.293259,0.113125,0.277778
856968,SOCIAL,RL,0.266348,0.101614,0.242424
865363,SOCIAL,LR,0.219147,0.060672,0.529412
865363,SOCIAL,RL,0.645362,0.058655,0.512195
872562,SOCIAL,LR,0.222185,0.067759,0.520000
872562,SOCIAL,RL,0.167186,0.060115,0.500000
873968,SOCIAL,LR,0.493564,0.098039,0.421053
873968,SOCIAL,RL,0.234538,0.070332,0.388889
877269,SOCIAL,LR,0.265785,0.079927,0.482759
877269,SOCIAL,RL,0.195482,0.068437,0.555556
880157,SOCIAL,LR,0.244504,0.060576,0.384615
880157,SOCIAL,RL,0.129195,0.079812,0.451613
894067,SOCIAL,LR,0.881640,0.115504,0.484848
894067,SOCIAL,RL,0.447056,0.127770,0.566667
902242,SOCIAL,LR,0.302742,0.051450,0.363636
902242,SOCIAL,RL,0.435978,0.046630,0.300000
904044,SOCIAL,LR,0.207380,0.068823,0.633333
904044,SOCIAL,RL,0.186504,0.085730,0.545455
922854,SOCIAL,LR,0.158779,0.165611,0.375000
922854,SOCIAL,RL,0.133419,0.147068,0.423077
930449,SOCIAL,LR,0.333555,0.062715,0.258065
930449,SOCIAL,RL,0.178877,0.064399,0.307692
932554,SOCIAL,LR,0.120541,0.070190,0.400000
932554,SOCIAL,RL,0.140587,0.051668,0.351351
942658,SOCIAL,LR,0.289938,0.060991,0.312500
942658,SOCIAL,RL,0.109695,0.070283,0.393939
952863,SOCIAL,LR,0.283537,0.063621,0.382353
952863,SOCIAL,RL,0.342955,0.069911,0.454545
965367,SOCIAL,LR,0.214046,0.048035,0.562500
965367,SOCIAL,RL,0.095722,0.044921,0.461538
979984,SOCIAL,LR,0.222814,0.137357,0.392857
979984,SOCIAL,RL,0.440881,0.126712,0.416667
987074,SOCIAL,LR,0.380603,0.072520,0.621622
987074,SOCIAL,RL,1.240580,0.107245,0.634615
990366,SOCIAL,LR,0.668815,0.084648,0.531250
990366,SOCIAL,RL,0.284061,0.075967,0.500000
993675,SOCIAL,LR,0.197122,0.105865,0.461538
993675,SOCIAL,RL,0.461613,0.091570,0.468750
100206,WM,LR,0.798652,0.048996,0.392405
100206,WM,RL,0.536694,0.056720,0.294872
101309,WM,LR,0.457543,0.054483,0.492308
101309,WM,RL,0.570875,0.047655,0.406977
101410,WM,LR,0.529787,0.095642,0.359375
101410,WM,RL,1.222030,0.102882,0.507463
101915,WM,LR,0.429712,0.065974,0.423729
101915,WM,RL,0.465374,0.072092,0.484375
105923,WM,LR,0.157931,0.046555,0.368932
105923,WM,RL,0.179305,0.056476,0.336538
108525,WM,LR,0.900347,0.084532,0.269231
108525,WM,RL,0.242573,0.062176,0.403226
109325,WM,LR,0.318708,0.141911,0.537500
109325,WM,RL,0.203136,0.130197,0.439024
110411,WM,LR,0.257265,0.054895,0.304762
110411,WM,RL,0.568303,0.049407,0.394231
111716,WM,LR,0.967795,0.086203,0.440000
111716,WM,RL,1.577960,0.090146,0.622951
112314,WM,LR,0.390985,0.062827,0.260274
